Normalized_error,Resolution
0.00546754+0.00000000j,452.54833996+0.00000000j
0.00615376+0.00000000j,400.00000000+0.00000000j
0.00500769+0.00000000j,640.00000000+0.00000000j
0.00555942+0.00000000j,729.45184899+0.00000000j
0.00514062+0.00000000j,800.00000000+0.00000000j
0.00559454+0.00000000j,799.68993991+0.00000000j
0.00552291+0.00000000j,800.56230239+0.00000000j
0.00551610+0.00000000j,804.98447190+0.00000000j
0.00501296+0.00000000j,1000.00000000+0.00000000j
0.00535894+0.00000000j,976.16596949+0.00000000j
0.00537651+0.00000000j,1468.60478005+0.00000000j
