Normalized_error,Resolution
0.00003651+0.00000000j,452.54833996+0.00000000j
0.00005295+0.00000000j,400.00000000+0.00000000j
0.00004979+0.00000000j,640.00000000+0.00000000j
0.00004451+0.00000000j,729.45184899+0.00000000j
0.00004925+0.00000000j,800.00000000+0.00000000j
0.00004261+0.00000000j,799.68993991+0.00000000j
0.00004245+0.00000000j,800.56230239+0.00000000j
0.00004297+0.00000000j,804.98447190+0.00000000j
0.00004941+0.00000000j,1000.00000000+0.00000000j
0.00004469+0.00000000j,976.16596949+0.00000000j
0.00004472+0.00000000j,1468.60478005+0.00000000j
